iter	Passed	Remaining
0	1438	1436792
1	3843	1917911
2	6004	1995367
3	7265	1809050
4	9299	1850530
5	11689	1936594
6	14095	1999497
7	16544	2051575
8	18882	2079164
9	21226	2101400
10	23680	2129094
11	25868	2129848
12	27969	2123538
13	30322	2135605
14	32664	2144941
15	35021	2153847
16	37391	2162085
17	39425	2150900
18	41788	2157595
19	43961	2154089
20	46328	2159767
21	48711	2165440
22	50953	2164427
23	53320	2168351
24	55726	2173323
25	58072	2175475
26	60428	2177647
27	62824	2180920
28	64927	2173961
29	67316	2176566
30	69716	2179191
31	72108	2181292
32	74489	2182754
33	76873	2184118
34	79276	2185759
35	81667	2186867
36	84062	2187893
37	86453	2188649
38	88829	2188847
39	91235	2189640
40	93463	2186144
41	95850	2186305
42	98216	2185885
43	100639	2186627
44	103046	2186877
45	105457	2187100
46	107850	2186843
47	110131	2184270
48	112437	2182201
49	114848	2182122
50	117134	2179624
51	119540	2179314
52	121847	2177155
53	124066	2173455
54	126263	2169434
55	128639	2168493
56	131023	2167628
57	133435	2167169
58	135804	2165959
59	138212	2165335
60	140596	2164264
61	142998	2163431
62	145346	2161746
63	147736	2160652
64	150158	2159965
65	152159	2153292
66	154296	2148631
67	156668	2147281
68	159032	2145783
69	161366	2143864
70	163744	2142517
71	166156	2141569
72	168186	2135737
73	170579	2134554
74	172659	2129463
75	175086	2128686
76	177163	2123655
77	179527	2122111
78	181952	2121248
79	184246	2118834
80	186669	2117889
81	189057	2116527
82	191034	2110590
83	193467	2109714
84	195900	2108812
85	198337	2107910
86	200736	2106581
87	203158	2105464
88	205530	2103800
89	207773	2100825
90	210195	2099645
91	212584	2098120
92	214918	2096037
93	217319	2094594
94	219778	2093683
95	221918	2089729
96	223992	2085205
97	225902	2079221
98	228341	2078139
99	230350	2073155
100	232758	2071777
101	235217	2070838
102	237454	2067925
103	239902	2066851
104	242129	2063869
105	244554	2062562
106	246994	2061361
107	247246	2042075
108	249553	2039925
109	251961	2038598
110	254395	2037452
111	256565	2034201
112	258957	2032700
113	261238	2030328
114	263657	2029014
115	265672	2024608
116	267690	2020264
117	270110	2018959
118	272633	2018403
119	275040	2016966
120	277434	2015416
121	279851	2014012
122	282262	2012551
123	284468	2009634
124	286876	2008136
125	289318	2006861
126	291536	2004027
127	293618	2000277
128	295867	1997675
129	298284	1996210
130	300699	1994719
131	302800	1991144
132	305258	1989920
133	307699	1988566
134	310115	1987037
135	312558	1985666
136	314611	1981820
137	317058	1980465
138	319486	1978978
139	321924	1977533
140	324403	1976329
141	326826	1974770
142	329274	1973342
143	331732	1971967
144	334186	1970548
145	336633	1969077
146	339078	1967577
147	341520	1966049
148	344001	1964735
149	346465	1963302
150	348915	1961782
151	351367	1960261
152	353532	1957135
153	355952	1955428
154	358069	1952056
155	360568	1950766
156	362923	1948689
157	365360	1947049
158	367850	1945676
159	370314	1944149
160	372778	1942617
161	375235	1941030
162	377692	1939438
163	379720	1935650
164	382157	1933946
165	384288	1930700
166	386729	1929017
167	389176	1927351
168	391272	1923949
169	393718	1922271
170	396155	1920540
171	398593	1918810
172	401053	1917174
173	403507	1915500
174	405550	1911881
175	407976	1910071
176	410432	1908395
177	412894	1906736
178	415186	1904291
179	417531	1902088
180	419957	1900249
181	422439	1898658
182	424905	1896982
183	427391	1895386
184	429828	1893569
185	432265	1891744
186	434726	1890012
187	437194	1888309
188	439665	1886607
189	442131	1884877
190	444641	1883323
191	447060	1881378
192	449522	1879610
193	451979	1877811
194	454428	1875975
195	456883	1874154
196	459222	1871857
197	461562	1869561
198	464009	1867698
199	466489	1865958
200	468944	1864112
201	471442	1862431
202	473909	1860621
203	476365	1858758
204	478820	1856889
205	480879	1853486
206	483329	1851593
207	485809	1849814
208	488298	1848057
209	490344	1844629
210	492797	1842735
211	494997	1839896
212	497441	1837965
213	499940	1836229
214	502370	1834237
215	504827	1832337
216	507302	1830496
217	509763	1828599
218	512212	1826655
219	514691	1824814
220	517164	1822946
221	519244	1819695
222	521675	1817676
223	524137	1815762
224	526174	1812379
225	528227	1809061
226	530651	1807019
227	533130	1805161
228	535126	1801670
229	537552	1799631
230	540009	1797695
231	542490	1795831
232	544958	1793918
233	547401	1791920
234	549531	1788901
235	552001	1786986
236	554440	1784969
237	556625	1782136
238	558979	1779848
239	561436	1777881
240	563502	1774682
241	565946	1772673
242	568471	1770916
243	571015	1769211
244	573526	1767398
245	576017	1765517
246	578482	1763550
247	580971	1761654
248	583478	1759809
249	585650	1756952
250	588135	1755034
251	590683	1753298
252	593152	1751324
253	595774	1749794
254	598440	1748385
255	600941	1746484
256	603503	1744760
257	606000	1742838
258	608247	1740197
259	610849	1738572
260	613410	1736820
261	615978	1735085
262	618485	1733171
263	620987	1731237
264	623427	1729129
265	625594	1726265
266	627759	1723399
267	630274	1721496
268	632749	1719478
269	635221	1717451
270	637741	1715547
271	639963	1712843
272	642466	1710890
273	644950	1708884
274	647446	1706905
275	649940	1704917
276	652431	1702916
277	654955	1700998
278	657434	1698961
279	659933	1696971
280	662379	1694841
281	664145	1690980
282	666622	1688933
283	669114	1686921
284	671246	1684005
285	673692	1681875
286	676177	1679842
287	678378	1677102
288	680877	1675099
289	683387	1673120
290	685636	1670503
291	688139	1668502
292	690602	1666402
293	693108	1664403
294	695584	1662329
295	698123	1660402
296	700598	1658319
297	703068	1656222
298	705548	1654145
299	708062	1652145
300	710558	1650101
301	712792	1647447
