client_num,target
0,1
10,6
11,0
14,5
16,1
20,2
21,2
23,4
24,1
28,4
29,1
30,2
35,0
37,3
42,0
44,2
45,4
49,1
51,1
53,0
54,1
55,2
59,0
60,1
64,6
66,2
67,0
80,1
81,2
84,1
90,1
92,2
94,0
97,4
99,2
100,1
103,1
106,6
111,2
116,1
120,1
122,1
124,1
126,0
128,4
129,2
134,4
136,4
137,1
142,2
143,6
144,2
145,2
146,1
147,4
149,2
152,2
157,1
167,1
173,1
176,4
178,4
179,1
182,2
183,1
184,2
185,2
189,2
190,2
191,0
193,4
198,1
202,1
204,1
210,0
212,4
214,1
215,0
217,1
222,2
223,4
225,2
232,2
234,2
239,1
240,2
241,4
243,0
244,2
251,2
252,0
255,1
258,1
260,4
266,4
267,2
268,1
270,4
272,6
275,0
280,0
282,2
287,1
288,2
289,2
294,2
296,2
297,2
299,2
300,2
301,0
306,2
308,2
310,0
312,0
316,3
317,2
319,1
320,2
321,1
322,3
324,2
328,2
329,2
333,2
338,1
341,5
346,2
350,2
352,2
353,0
354,1
355,1
357,4
361,1
365,2
366,0
367,4
369,2
370,4
371,0
377,2
379,0
380,1
381,6
383,1
386,4
395,2
399,1
401,1
403,2
404,2
406,1
409,2
411,1
413,2
415,1
417,2
423,2
425,4
426,2
427,1
429,0
432,1
434,1
438,2
439,2
441,2
442,0
446,1
447,1
448,1
454,2
455,2
456,2
460,1
462,1
463,2
467,5
468,0
469,0
470,0
477,1
482,4
483,0
485,1
487,2
489,6
491,2
493,0
498,2
500,1
501,0
504,1
506,2
507,4
508,4
509,1
512,3
513,0
514,2
515,0
516,2
520,2
521,0
527,2
529,2
533,2
534,1
535,0
538,1
540,1
544,0
545,2
551,0
553,1
567,4
569,2
570,1
571,4
579,2
587,0
588,0
590,5
592,1
593,0
595,0
596,1
598,0
599,2
600,2
603,4
610,2
611,2
616,1
625,4
630,2
635,0
636,2
637,4
638,1
642,2
644,0
645,1
648,4
651,2
652,1
655,1
656,1
662,1
664,0
668,2
671,6
672,2
673,0
675,2
678,0
679,2
681,0
682,1
683,2
684,1
685,1
687,1
689,2
690,4
692,0
695,3
696,1
697,2
700,4
710,5
713,0
714,1
715,4
716,6
717,1
719,1
723,4
725,4
726,1
727,3
730,0
731,1
734,0
735,5
736,0
737,2
738,1
739,0
743,0
744,4
746,4
748,4
750,0
751,1
755,1
756,2
757,4
759,1
760,0
762,1
763,4
765,4
768,0
773,1
776,1
781,2
782,1
784,2
785,2
786,2
791,0
795,0
803,2
807,3
809,4
814,0
816,2
818,2
821,3
822,4
827,1
828,4
831,1
832,5
834,2
838,1
840,2
841,2
842,2
847,2
849,1
851,2
853,4
854,1
856,1
861,2
864,2
868,0
879,1
881,3
882,2
883,2
898,4
899,1
903,4
905,2
906,0
907,4
910,2
915,2
919,0
925,2
928,2
931,2
932,5
934,4
935,0
936,1
941,3
943,0
946,1
948,2
949,1
951,2
954,2
956,1
965,2
966,1
969,4
972,0
973,2
974,2
980,2
981,1
984,2
985,1
987,2
989,0
990,2
998,4
1000,0
1002,2
1008,4
1012,2
1013,1
1020,3
1021,4
1028,2
1029,2
1030,3
1032,1
1047,1
1048,2
1060,2
1061,3
1062,1
1063,0
1070,2
1074,2
1077,0
1078,1
1080,2
1083,4
1086,2
1087,1
1097,2
1101,4
1102,0
1106,4
1107,2
1108,4
1112,1
1113,0
1118,1
1119,2
1120,4
1121,2
1122,1
1123,2
1124,1
1128,4
1133,1
1134,3
1135,2
1137,1
1143,2
1145,1
1147,1
1150,1
1155,2
1156,1
1159,3
1160,2
1161,1
1163,4
1165,1
1166,2
1167,1
1170,4
1174,2
1176,1
1181,0
1182,1
1187,2
1188,1
1194,0
1198,1
1200,5
1202,1
1203,4
1206,2
1208,2
1211,4
1213,1
1214,1
1215,0
1218,1
1222,0
1224,2
1225,4
1230,0
1233,1
1234,2
1242,1
1243,2
1244,4
1249,1
1260,0
1266,2
1268,1
1273,2
1274,1
1276,2
1277,1
1279,2
1280,0
1285,0
1286,1
1287,4
1288,0
1289,2
1298,2
1300,0
1301,2
1302,2
1304,2
1308,2
1312,4
1313,2
1314,1
1315,2
1316,1
1318,1
1320,0
1322,4
1330,1
1331,6
1333,2
1334,1
1338,0
1340,2
1344,2
1350,1
1358,4
1359,2
1363,2
1367,2
1368,4
1369,4
1371,0
1373,0
1374,1
1377,1
1385,1
1394,2
1401,0
1404,2
1407,4
1412,2
1416,1
1417,4
1418,0
1420,3
1421,1
1423,2
1425,2
1428,2
1429,4
1430,1
1433,0
1434,1
1445,1
1450,2
1455,1
1457,2
1461,2
1465,1
1468,2
1469,0
1472,1
1482,1
1483,0
1484,1
1488,2
1489,2
1490,1
1492,2
1499,2
1500,4
1503,2
1506,1
1508,1
1511,2
1523,4
1525,2
1526,4
1528,0
1529,2
1531,0
1534,1
1535,0
1537,1
1538,1
1539,1
1540,0
1543,1
1546,2
1556,2
1559,0
1560,1
1563,1
1565,2
1574,2
1575,0
1577,4
1579,1
1587,1
1590,2
1592,1
1593,0
1598,2
1599,1
1606,2
1607,1
1608,4
1609,1
1611,1
1612,3
1614,1
1619,4
1620,2
1625,2
1630,2
1632,1
1641,4
1643,2
1644,2
1646,2
1647,2
1648,1
1650,2
1655,2
1658,5
1660,1
1662,5
1664,0
1667,4
1668,4
1670,4
1672,1
1676,4
1677,2
1678,2
1692,2
1694,2
1696,4
1699,4
1701,1
1702,2
1710,1
1713,4
1715,2
1727,2
1728,4
1731,1
1734,2
1737,1
1738,4
1739,2
1745,2
1748,4
1749,1
1755,4
1759,4
1764,1
1771,1
1774,1
1775,4
1777,4
1779,1
1780,4
1789,4
1792,4
1794,2
1800,4
1801,0
1813,4
1816,2
1817,2
1822,1
1823,2
1824,1
1828,4
1829,4
1831,1
1832,1
1833,0
1835,2
1843,0
1845,1
1847,1
1848,0
1850,1
1854,2
1860,1
1861,4
1863,1
1865,2
1867,2
1868,2
1869,0
1881,2
1882,2
1885,3
1890,1
1892,2
1895,4
1900,1
1902,0
1903,1
1904,0
1906,2
1912,4
1913,2
1917,1
1918,2
1919,2
1924,1
1933,2
1934,5
1936,1
1937,2
1938,1
1939,2
1940,0
1941,1
1944,2
1948,0
1951,1
1955,0
1956,1
1958,2
1959,1
1960,1
1961,1
1962,1
1963,4
1965,0
1967,2
1970,2
1971,1
1973,2
1980,2
1981,0
1983,0
1988,5
1990,2
1991,1
1993,1
1994,0
1998,1
1999,2
2000,1
2002,1
2004,1
2005,2
2008,2
2014,1
2017,2
2021,2
2022,1
2023,0
2024,2
2026,2
2027,1
2039,1
2040,0
2041,4
2042,4
2043,1
2046,2
2048,1
2051,0
2058,4
2064,4
2067,0
2069,2
2072,1
2073,4
2074,0
2086,2
2087,1
2088,2
2089,4
2090,2
2091,2
2093,2
2095,0
2097,2
2098,1
2101,2
2103,1
2105,2
2111,2
2112,2
2113,2
2121,0
2122,1
2123,1
2124,1
2125,4
2126,2
2131,2
2137,0
2138,0
2139,0
2140,2
2143,2
2146,1
2153,1
2155,2
2156,4
2157,1
2161,2
2168,4
2169,2
2176,0
2178,0
2182,4
2184,1
2188,0
2189,2
2194,0
2196,0
2198,1
2199,2
2203,2
2204,1
2206,2
2209,4
2210,1
2211,0
2212,2
2213,1
2214,2
2218,1
2219,0
2223,2
2225,1
2226,1
2227,1
2229,4
2232,2
2235,2
2238,0
2239,4
2240,2
2241,4
2244,1
2247,0
2250,1
2251,1
2253,1
2254,4
2256,1
2262,2
2263,2
2264,2
2265,4
2267,2
2268,2
2270,2
2272,4
2273,2
2275,2
2276,0
2278,1
2284,2
2285,4
2286,2
2293,2
2294,2
2296,1
2297,0
2298,2
2300,2
2306,1
2307,2
2309,0
2314,2
2321,1
2328,4
2330,1
2335,2
2336,1
2338,2
2343,0
2349,1
2352,1
2356,1
2361,2
2362,2
2363,0
2366,6
2370,1
2371,0
2374,1
2377,4
2379,2
2383,2
2387,2
2392,2
2397,1
2398,1
2399,2
2401,2
2402,0
2409,4
2413,2
2415,2
2417,1
2422,1
2425,2
2427,1
2428,1
2439,2
2441,2
2442,3
2446,2
2447,2
2448,2
2449,1
2450,4
2454,0
2458,1
2463,1
2467,2
2469,1
2470,4
2471,2
2472,1
2473,4
2477,0
2480,0
2482,1
2488,0
2491,2
2493,4
2495,0
2497,0
2507,2
2509,4
2512,2
2514,1
2515,0
2519,1
2520,0
2521,4
2529,1
2530,2
2532,2
2533,1
2538,1
2539,0
2540,1
2541,0
2542,0
2545,0
2549,1
2550,2
2551,4
2554,1
2557,1
2560,2
2563,0
2566,1
2567,4
2569,1
2574,0
2576,4
2580,2
2581,2
2583,2
2584,4
2589,1
2590,0
2594,3
2596,0
2597,1
2599,4
2602,2
2604,1
2605,4
2608,2
2609,0
2610,1
2611,2
2612,1
2617,0
2618,3
2620,1
2621,2
2622,2
2624,2
2630,1
2634,0
2636,0
2638,0
2645,0
2653,2
2655,2
2659,0
2661,2
2665,1
2666,1
2668,2
2669,1
2670,1
2672,0
2680,0
2681,1
2686,4
2690,4
2693,1
2698,0
2701,4
2702,1
2703,1
2704,4
2707,2
2711,4
2713,2
2716,2
2723,2
2726,4
2729,2
2730,2
2732,0
2737,2
2738,0
2744,1
2747,1
2748,0
2751,0
2752,1
2758,4
2762,1
2765,2
2776,2
2780,1
2785,0
2788,2
2792,0
2793,0
2794,0
2795,1
2796,2
2798,2
2801,1
2803,1
2805,2
2806,0
2815,3
2818,2
2819,1
2820,1
2821,5
2823,1
2824,1
2826,1
2829,0
2830,1
2832,2
2836,1
2838,0
2839,2
2843,4
2844,1
2845,2
2847,2
2849,1
2853,4
2858,4
2860,2
2861,1
2864,2
2866,2
2868,6
2871,0
2872,1
2873,0
2878,1
2885,2
2888,2
2890,2
2896,0
2900,2
2904,2
2906,2
2912,4
2916,4
2917,1
2918,1
2919,4
2922,0
2923,2
2926,1
2932,0
2945,2
2952,2
2954,1
2955,1
2956,2
2958,2
2960,1
2962,2
2965,5
2967,0
2968,2
2970,5
2973,2
2976,1
2977,4
2978,0
2989,2
2990,4
2991,2
2993,2
2994,0
2997,0
2998,1
2999,1
3002,1
3003,2
3009,0
3012,0
3013,1
3014,1
3022,2
3023,2
3024,0
3025,2
3026,2
3027,2
3031,2
3035,4
3036,2
3037,2
3039,1
3041,2
3044,1
3047,1
3052,1
3054,4
3055,0
3057,0
3066,2
3070,2
3071,2
3072,2
3074,2
3076,0
3077,4
3079,1
3080,1
3084,1
3085,0
3086,4
3088,1
3089,2
3090,0
3091,6
3093,0
3100,1
3104,0
3105,1
3106,2
3108,1
3109,2
3113,0
3115,4
3120,2
3121,0
3125,1
3127,2
3136,1
3137,1
3139,1
3143,2
3144,1
3146,1
3152,1
3154,1
3159,0
3166,2
3168,4
3172,1
3173,4
3175,2
3176,2
3181,0
3182,2
3184,1
3185,1
3186,0
3190,1
3191,2
3193,4
3197,1
3198,1
3200,2
3201,4
3203,0
3204,1
3207,2
3209,1
3210,2
3211,2
3212,1
3215,3
3218,2
3219,1
3223,1
3227,1
3231,1
3233,1
3238,0
3240,4
