client_num,target
0,0
10,0
11,1
14,0
16,1
20,1
21,0
23,1
24,0
28,0
29,1
30,1
35,0
37,0
42,1
44,1
45,1
49,0
51,1
53,1
54,0
55,0
59,0
60,1
64,0
66,0
67,1
80,1
81,1
84,1
90,1
92,1
94,1
97,0
99,1
100,1
103,0
106,0
111,0
116,0
120,1
122,1
124,0
126,0
128,1
129,1
134,1
136,0
137,1
142,1
143,0
144,0
145,1
146,1
147,0
149,1
152,0
157,1
167,1
173,1
176,1
178,1
179,1
182,0
183,1
184,0
185,1
189,0
190,1
191,1
193,1
198,1
202,1
204,1
210,0
212,1
214,1
215,0
217,0
222,1
223,0
225,0
232,1
234,1
239,1
240,1
241,0
243,1
244,1
251,1
252,0
255,1
258,1
260,1
266,1
267,1
268,0
270,0
272,0
275,1
280,1
282,0
287,1
288,0
289,1
294,0
296,0
297,1
299,1
300,0
301,1
306,1
308,1
310,1
312,0
316,0
317,1
319,0
320,0
321,0
322,0
324,0
328,1
329,1
333,0
338,1
341,0
346,0
350,0
352,1
353,0
354,1
355,1
357,0
361,0
365,1
366,1
367,1
369,0
370,0
371,1
377,0
379,1
380,1
381,0
383,0
386,0
395,0
399,1
401,1
403,1
404,0
406,1
409,1
411,1
413,0
415,1
417,0
423,0
425,1
426,1
427,0
429,0
432,0
434,0
438,1
439,0
441,1
442,1
446,0
447,0
448,1
454,0
455,2
456,0
460,1
462,1
463,0
467,0
468,0
469,1
470,0
477,0
482,1
483,0
485,0
487,0
489,1
491,1
493,0
498,1
500,1
501,1
504,1
506,1
507,1
508,0
509,0
512,1
513,1
514,1
515,0
516,1
520,1
521,1
527,1
529,0
533,0
534,2
535,1
538,0
540,1
544,0
545,1
551,1
553,1
567,1
569,0
570,0
571,0
579,0
587,0
588,0
590,1
592,1
593,1
595,0
596,1
598,1
599,0
600,1
603,1
610,0
611,0
616,0
625,1
630,0
635,0
636,1
637,0
638,0
642,0
644,0
645,1
648,1
651,1
652,0
655,1
656,0
662,0
664,0
668,1
671,1
672,0
673,0
675,1
678,0
679,0
681,1
682,1
683,0
684,1
685,0
687,1
689,1
690,0
692,0
695,0
696,0
697,0
700,0
710,0
713,0
714,0
715,1
716,1
717,1
719,1
723,1
725,0
726,0
727,0
730,1
731,1
734,0
735,0
736,1
737,1
738,1
739,1
743,1
744,0
746,1
748,0
750,1
751,1
755,1
756,1
757,1
759,0
760,1
762,1
763,0
765,0
768,0
773,0
776,0
781,1
782,1
784,1
785,1
786,0
791,0
795,0
803,0
807,0
809,1
814,1
816,1
818,0
821,1
822,0
827,0
828,1
831,0
832,0
834,1
838,0
840,1
841,0
842,0
847,1
849,0
851,2
853,1
854,1
856,1
861,0
864,0
868,1
879,1
881,1
882,0
883,0
898,0
899,1
903,0
905,0
906,1
907,1
910,0
915,0
919,1
925,1
928,1
931,1
932,0
934,1
935,1
936,1
941,1
943,0
946,0
948,0
949,0
951,0
954,1
956,0
965,1
966,1
969,1
972,0
973,1
974,1
980,1
981,1
984,1
985,1
987,0
989,1
990,0
998,0
1000,1
1002,1
1008,0
1012,0
1013,1
1020,0
1021,0
1028,0
1029,0
1030,1
1032,1
1047,1
1048,1
1060,1
1061,0
1062,0
1063,0
1070,0
1074,1
1077,1
1078,1
1080,1
1083,1
1086,1
1087,1
1097,1
1101,0
1102,1
1106,0
1107,1
1108,0
1112,1
1113,1
1118,1
1119,1
1120,1
1121,0
1122,1
1123,1
1124,1
1128,0
1133,1
1134,1
1135,0
