iter	Passed	Remaining
0	892	445254
1	1584	394465
2	2290	379446
3	2995	371393
4	3710	367300
5	4413	363371
6	5134	361645
7	5858	360325
8	6550	357377
9	7265	356001
10	7995	355422
11	8829	359086
12	9480	355164
13	10131	351717
14	10923	353182
15	11646	352311
16	12264	348460
17	12919	345967
18	13555	343180
19	14242	341822
20	14964	341339
21	15683	340763
22	16313	338337
23	17024	337650
24	17753	337307
25	18482	336947
26	19106	334717
27	19858	334755
28	20584	334322
29	21267	333195
30	21942	331963
31	22586	330324
32	23194	328237
33	23860	327032
34	24624	327155
35	25363	326902
36	26064	326160
37	26779	325587
38	27429	324236
39	28126	323451
40	28852	323012
41	29492	321607
42	30092	319824
43	30740	318579
44	31392	317414
45	32102	316834
46	32774	315888
47	33436	314864
48	34112	313972
49	34828	313454
50	35592	313357
51	36315	312872
52	37035	312353
53	37674	311161
54	38352	310305
55	38939	308735
56	39567	307512
57	40194	306310
58	40901	305722
59	41487	304241
60	42112	303072
61	42782	302235
62	43441	301333
63	44218	301237
64	44863	300243
65	45615	299955
66	46267	299013
67	46905	297985
68	47658	297692
69	48279	296571
70	48886	295385
71	49535	294458
72	50245	293903
73	50879	292899
74	51653	292705
75	52278	291656
76	52942	290840
77	53680	290422
78	54365	289720
79	55153	289556
80	55793	288611
81	56493	287978
82	57220	287481
83	57811	286306
84	58574	285979
85	59216	285067
86	60005	284853
87	60623	283826
88	61288	283029
89	61989	282394
90	62721	281901
91	63385	281099
92	64008	280124
93	64713	279508
94	65392	278779
95	66134	278316
96	66766	277392
97	67487	276837
98	68139	275998
99	68732	274928
100	69404	274180
101	70124	273622
102	70780	272813
103	71396	271854
104	72112	271280
105	72781	270525
106	73410	269630
107	74069	268844
108	74692	267931
109	75482	267620
110	76142	266842
111	76867	266292
112	77604	265777
113	78455	265647
114	79124	264895
115	79738	263962
116	80418	263251
117	81107	262566
118	81685	261529
119	82435	261045
120	83152	260453
121	83796	259632
122	84423	258761
123	85089	258014
124	85798	257395
125	86630	257142
126	87348	256544
127	88181	256277
128	88968	255869
129	89619	255071
130	90241	254191
131	90952	253565
132	91557	252643
133	92346	252230
134	93073	251643
135	93803	251062
136	94483	250346
137	95132	249551
138	95935	249156
139	96509	248166
140	97260	247634
141	97917	246862
142	98528	245976
143	99291	245469
144	100033	244910
145	100749	244282
146	101466	243658
147	102150	242952
148	103090	242849
149	103798	242195
150	104434	241374
151	105063	240541
152	105704	239735
153	106372	238993
154	107151	238497
155	107741	237584
156	108497	237035
157	109162	236287
158	110037	235991
159	110767	235381
160	111419	234603
161	112216	234130
162	112992	233610
163	113741	233030
164	114458	232385
165	115226	231840
166	116048	231403
167	116751	230722
168	117497	230128
169	118114	229280
170	118810	228588
171	119446	227782
172	120132	227070
173	120713	226164
174	121394	225446
175	122210	224979
176	122857	224198
177	123450	223320
178	124025	222414
179	124831	221923
180	125631	221415
181	126255	220600
182	127132	220223
183	127961	219760
184	128800	219309
185	129463	218556
186	130246	218006
187	131021	217439
188	131889	217024
189	132554	216273
190	133366	215761
191	134205	215288
192	134932	214634
193	135725	214082
194	136538	213560
195	137333	213006
196	137903	212106
197	138659	211490
198	139400	210852
199	140243	210364
200	140876	209562
201	141439	208657
202	142239	208103
203	142941	207404
204	143708	206800
205	144509	206241
206	145277	205633
207	145887	204804
208	146665	204208
209	147334	203462
210	148089	202834
211	148868	202237
212	149459	201384
213	150071	200563
214	150813	199916
215	151512	199210
216	152098	198358
217	152682	197506
218	153303	196704
219	153946	195932
220	154633	195215
221	155278	194448
222	155955	193721
223	156562	192907
224	157283	192234
225	157887	191421
226	158721	190885
227	159484	190262
228	160203	189586
229	160833	188804
230	161555	188132
231	162324	187512
232	162900	186671
233	163600	185973
234	164332	185311
235	164949	184520
236	165515	183673
237	166262	183027
238	166817	182172
239	167528	181488
240	168068	180621
241	168603	179751
242	169185	178933
243	169881	178236
244	170612	177576
245	171281	176851
246	171813	175987
247	172566	175349
248	173119	174510
249	173885	173885
250	174613	173221
251	175295	172512
252	175884	171712
253	176625	171062
254	177400	170443
255	178179	169827
256	178812	169071
257	179590	168453
258	180270	167741
259	181028	167103
260	181734	166416
261	182411	165702
262	183136	165031
263	183772	164281
264	184495	163609
265	185216	162934
266	185934	162257
267	186616	161548
268	187276	160820
269	187813	159989
270	188570	159345
271	189284	158664
272	190056	158032
273	190789	157366
274	191361	156568
275	191946	155782
276	192688	155124
277	193518	154536
278	194217	153842
279	194866	153109
280	195495	152361
281	196283	151736
282	196920	150995
283	197723	150381
284	198403	149672
285	199118	148990
286	199697	148207
287	200423	147534
288	201104	146827
289	201854	146170
290	202600	145510
291	203278	144801
292	203906	144056
293	204730	143450
294	205441	142764
295	206023	141989
296	206753	141316
297	207518	140667
298	208119	139906
299	208668	139112
300	209443	138469
301	210145	137777
302	210807	137059
303	211579	136412
304	212380	135784
305	212916	134986
306	213638	134307
307	214358	133626
308	214992	132891
309	215559	132117
310	216275	131434
311	216993	130752
312	217808	130128
313	218410	129376
314	219049	128648
315	219581	127857
316	220375	127219
317	221270	126639
318	221840	125871
319	222451	125129
320	223156	124439
321	223753	123689
322	224497	123021
323	225041	122245
324	225763	121564
325	226362	120819
326	226898	120040
327	227489	119293
328	228054	118532
329	228629	117778
330	229214	117031
331	229849	116309
332	230547	115620
333	231217	114916
334	231741	114141
335	232291	113380
336	232804	112602
337	233622	111972
338	234128	111193
339	234704	110449
340	235454	109786
341	236119	109084
342	236676	108332
343	237176	107556
344	237893	106879
345	238426	106120
346	239178	105459
347	240042	104846
348	240788	104180
349	241416	103464
350	241962	102713
351	242648	102022
352	243352	101339
353	244131	100686
354	244746	99967
355	245249	99202
356	245853	98479
357	246681	97845
358	247199	97089
359	247788	96362
360	248404	95646
361	248990	94919
362	249624	94210
363	250377	93547
364	251073	92862
365	251760	92174
366	252505	91507
367	253406	90895
368	253920	90145
369	254455	89403
370	255087	88696
371	255811	88021
372	256331	87276
373	257088	86612
374	257667	85889
375	258207	85153
376	258717	84409
377	259322	83696
378	259870	82966
379	260403	82232
380	260880	81482
381	261404	80748
382	262105	80068
383	262650	79342
384	263490	78705
385	264027	77976
386	264828	77327
387	265347	76595
388	266183	75954
389	266980	75302
390	267484	74567
391	268030	73845
392	268689	73154
393	269467	72496
394	270270	71844
395	270976	71165
396	271670	70483
397	272324	69791
398	272912	69083
399	273750	68437
400	274258	67709
401	274757	66980
402	275361	66278
403	275896	65559
404	276454	64847
405	276935	64117
406	277726	63460
407	278237	62739
408	278795	62030
409	279306	61311
410	279840	60598
411	280417	59895
412	280913	59175
413	281426	58460
414	282001	57759
415	282764	57096
416	283289	56386
417	283927	55698
418	284409	54981
