iter	Passed	Remaining
0	90	85772
1	184	87156
2	269	85067
3	372	87899
4	456	86251
5	555	87272
6	657	88418
7	769	90562
8	868	90693
9	956	89821
10	1053	89860
11	1151	89905
12	1248	89863
13	1343	89721
14	1437	89515
15	1536	89620
16	1632	89484
17	1722	89097
18	1809	88588
19	1909	88689
20	2007	88717
21	2098	88412
22	2187	88089
23	2279	87841
24	2365	87437
25	2453	87094
26	2535	86588
27	2622	86245
28	2704	85801
29	2805	85954
30	2893	85696
31	2988	85652
32	3083	85596
33	3176	85485
34	3264	85255
35	3364	85331
36	3459	85282
37	3554	85206
38	3649	85155
39	3734	84877
40	3825	84716
41	3912	84500
42	3997	84229
43	4089	84118
44	4177	83915
45	4260	83643
46	4347	83434
47	4444	83435
48	4541	83422
49	4634	83332
50	4730	83286
51	4828	83290
52	4925	83264
53	5019	83188
54	5110	83066
55	5204	83000
56	5313	83149
57	5414	83180
58	5519	83256
59	5611	83149
60	5716	83219
61	5819	83263
62	5917	83214
63	6017	83217
64	6110	83096
65	6203	82991
66	6292	82841
67	6384	82712
68	6471	82531
69	6570	82501
70	6657	82327
71	6756	82293
72	6834	82017
73	6926	81905
74	7018	81785
75	7105	81615
76	7200	81546
77	7289	81403
78	7374	81215
79	7457	81009
80	7547	80875
81	7639	80777
82	7733	80693
83	7833	80665
84	7927	80582
85	8026	80541
86	8118	80436
87	8208	80314
88	8302	80226
89	8384	80023
90	8464	79811
91	8555	79694
92	8648	79600
93	8743	79525
94	8835	79425
95	8923	79290
96	9015	79184
97	9101	79036
98	9185	78861
99	9266	78673
100	9351	78519
101	9446	78440
102	9527	78256
103	9609	78078
104	9713	78081
105	9806	77988
106	9900	77909
107	9998	77862
108	10103	77864
109	10203	77823
110	10303	77789
111	10398	77713
112	10489	77602
113	10585	77535
114	10678	77440
115	10753	77219
116	10834	77048
117	10917	76884
118	11002	76743
119	11087	76597
120	11168	76425
121	11252	76276
122	11347	76206
123	11447	76162
124	11537	76057
125	11626	75944
126	11717	75838
127	11804	75713
128	11886	75556
129	11970	75416
130	12055	75275
131	12147	75185
132	12253	75180
133	12334	75017
134	12419	74882
135	12502	74741
136	12592	74633
137	12672	74471
138	12758	74348
139	12837	74182
140	12920	74042
141	13003	73900
142	13086	73761
143	13171	73629
144	13265	73552
145	13355	73456
146	13440	73329
147	13534	73252
148	13619	73124
149	13703	72992
150	13784	72847
151	13867	72715
152	13953	72595
153	14042	72492
154	14130	72383
155	14220	72289
156	14311	72197
157	14395	72068
158	14484	71967
159	14574	71869
160	14665	71778
161	14752	71668
162	14846	71591
163	14945	71537
164	15032	71426
165	15120	71322
166	15217	71256
167	15314	71193
168	15402	71087
169	15495	71007
170	15585	70909
171	15670	70789
172	15764	70714
173	15850	70597
174	15941	70505
175	16023	70375
176	16106	70249
177	16186	70111
178	16272	69999
179	16363	69910
180	16449	69797
181	16529	69658
182	16616	69552
183	16704	69452
184	16790	69338
185	16878	69237
186	16965	69133
187	17052	69027
188	17141	68928
189	17220	68792
190	17317	68724
191	17411	68648
192	17534	68683
193	17614	68552
194	17704	68458
195	17790	68349
196	17882	68261
197	17963	68135
198	18050	68029
199	18137	67924
200	18226	67829
201	18320	67750
202	18415	67673
203	18500	67562
204	18590	67469
205	18680	67378
206	18761	67251
207	18863	67200
208	18953	67108
209	19040	67005
210	19124	66890
211	19210	66784
212	19285	66639
213	19365	66512
214	19452	66409
215	19553	66355
216	19641	66254
217	19738	66186
218	19829	66097
219	19915	65994
220	20003	65895
221	20098	65817
222	20208	65791
223	20319	65764
224	20413	65685
225	20511	65617
226	20608	65548
227	20720	65524
228	20807	65420
229	20887	65297
230	20984	65223
231	21072	65124
232	21154	65006
233	21245	64916
234	21344	64850
235	21427	64737
236	21514	64634
237	21605	64543
238	21692	64441
239	21800	64403
240	21893	64317
241	21984	64228
242	22068	64117
243	22152	64006
244	22233	63888
245	22334	63824
246	22426	63737
247	22508	63623
248	22598	63530
249	22690	63443
250	22787	63369
251	22887	63304
252	22975	63204
253	23062	63103
254	23161	63036
255	23258	62961
256	23346	62864
257	23434	62765
258	23519	62657
259	23606	62557
260	23686	62439
261	23774	62339
262	23852	62216
263	23932	62097
264	24017	61992
265	24109	61905
266	24205	61829
267	24306	61763
268	24405	61693
269	24491	61592
270	24598	61540
271	24693	61460
272	24789	61384
273	24887	61309
274	24976	61215
275	25067	61125
276	25151	61017
277	25242	60925
278	25334	60840
279	25421	60740
280	25525	60678
281	25622	60604
282	25707	60498
283	25810	60437
284	25893	60326
285	25983	60233
286	26066	60126
287	26156	60032
288	26246	59940
289	26332	59837
290	26415	59730
291	26508	59643
292	26599	59552
293	26701	59489
294	26789	59390
295	26883	59307
296	26978	59224
297	27063	59122
298	27149	59021
299	27242	58935
300	27338	58855
301	27429	58764
302	27528	58690
303	27611	58584
304	27702	58492
305	27787	58390
306	27886	58315
307	27972	58216
308	28067	58133
309	28151	58028
310	28233	57918
311	28345	57872
312	28440	57790
313	28534	57704
314	28626	57617
315	28726	57543
316	28823	57464
317	28924	57393
318	29015	57303
319	29102	57205
320	29189	57105
321	29273	57002
322	29358	56899
323	29454	56817
324	29561	56758
325	29644	56652
326	29731	56553
327	29830	56477
328	29926	56395
329	30023	56316
330	30125	56247
331	30210	56143
332	30294	56040
333	30389	55956
334	30486	55876
335	30577	55785
336	30664	55687
337	30757	55599
338	30844	55501
339	30937	55414
340	31027	55320
341	31113	55221
342	31207	55136
343	31294	55037
344	31393	54960
345	31485	54871
346	31581	54790
347	31677	54706
348	31777	54631
349	31872	54546
350	31962	54455
351	32064	54382
352	32152	54285
353	32243	54194
354	32324	54087
355	32410	53987
356	32497	53889
357	32589	53800
358	32688	53722
359	32781	53633
360	32879	53554
361	32967	53458
362	33058	53367
363	33148	53274
364	33261	53218
365	33349	53123
366	33443	53036
367	33540	52954
368	33633	52865
369	33721	52770
370	33819	52688
371	33907	52593
372	33992	52493
373	34085	52404
374	34169	52302
375	34263	52214
376	34355	52125
377	34436	52019
378	34517	51913
379	34607	51819
380	34695	51723
381	34784	51629
382	34867	51527
383	34966	51448
384	35059	51360
385	35153	51272
386	35251	51191
387	35340	51098
388	35438	51016
389	35530	50927
390	35621	50835
391	35715	50749
392	35822	50679
393	35931	50614
394	36037	50543
395	36125	50448
396	36224	50367
397	36323	50287
398	36420	50203
399	36505	50103
400	36592	50006
401	36682	49914
402	36760	49804
403	36851	49712
404	36932	49608
405	37014	49505
406	37098	49404
407	37188	49311
408	37284	49226
409	37376	49135
410	37474	49053
411	37559	48955
412	37655	48869
413	37746	48778
414	37823	48669
415	37905	48567
416	37987	48464
417	38071	48363
418	38168	48279
419	38265	48195
420	38366	48117
421	38455	48024
422	38545	47931
423	38645	47851
424	38746	47772
425	38843	47687
426	38935	47597
427	39059	47546
428	39158	47465
429	39254	47379
430	39351	47295
431	39449	47211
432	39544	47124
433	39631	47027
434	39732	46947
435	39831	46866
436	39918	46769
437	39998	46665
438	40102	46588
439	40183	46485
440	40268	46386
441	40351	46285
442	40445	46197
443	40537	46107
444	40619	46005
445	40703	45905
446	40792	45811
447	40868	45703
448	40966	45620
449	41055	45526
450	41138	45425
451	41224	45328
452	41306	45227
453	41396	45134
454	41481	45037
455	41575	44949
456	41668	44859
457	41765	44774
458	41858	44685
459	41958	44604
460	42044	44506
461	42140	44420
462	42234	44332
463	42336	44252
464	42433	44167
465	42524	44075
466	42612	43981
467	42707	43893
468	42808	43812
469	42898	43719
470	42981	43620
471	43076	43533
472	43163	43437
473	43244	43335
474	43334	43243
475	43418	43145
476	43497	43041
477	43580	42941
478	43665	42845
479	43753	42750
480	43838	42653
481	43932	42565
482	44023	42474
483	44111	42379
484	44199	42285
485	44290	42194
486	44380	42102
487	44473	42012
488	44560	41918
489	44655	41829
490	44734	41727
491	44829	41640
492	44927	41555
493	45022	41468
494	45101	41365
495	45181	41264
496	45273	41174
497	45357	41077
498	45446	40983
499	45527	40883
500	45630	40803
501	45717	40708
502	45803	40613
503	45899	40526
504	45982	40428
505	46070	40334
506	46168	40249
507	46265	40163
508	46345	40063
509	46440	39975
510	46530	39883
511	46616	39787
512	46700	39691
513	46788	39597
514	46872	39500
515	46948	39396
516	47037	39304
517	47121	39207
518	47204	39109
519	47308	39029
520	47403	38941
521	47496	38852
522	47586	38760
523	47685	38676
524	47773	38582
525	47857	38486
526	47942	38390
527	48032	38298
528	48122	38207
529	48213	38116
530	48292	38015
531	48377	37920
532	48462	37824
533	48541	37724
534	48621	37624
535	48712	37534
536	48799	37440
537	48883	37344
538	48964	37245
539	49068	37164
540	49153	37069
541	49249	36982
542	49351	36900
543	49440	36807
544	49529	36715
545	49618	36622
546	49706	36530
547	49785	36430
548	49879	36342
549	49975	36255
550	50063	36161
551	50154	36071
552	50244	35979
553	50330	35885
554	50425	35797
555	50516	35706
556	50619	35624
557	50742	35556
558	50829	35462
559	50917	35369
560	51008	35278
561	51111	35195
562	51203	35105
563	51295	35015
564	51387	34925
565	51473	34830
566	51566	34741
567	51665	34655
568	51757	34565
569	51841	34469
570	51930	34377
571	52015	34283
572	52100	34188
573	52198	34101
574	52276	34002
575	52374	33915
576	52453	33817
577	52539	33723
578	52622	33627
579	52713	33536
580	52810	33449
581	52898	33356
582	52996	33270
583	53086	33179
