iter	RMSE
0	2778.230996
1	2679.411023
2	2594.692125
3	2523.061479
4	2461.062396
5	2407.45497
6	2359.779775
7	2317.878536
8	2279.711683
9	2247.917344
10	2215.738455
11	2186.297256
12	2161.318194
13	2140.421146
14	2122.57013
15	2101.442632
16	2086.21399
17	2071.740125
18	2054.824231
19	2040.695161
20	2028.155382
21	2016.105417
22	2004.806715
23	1996.539473
24	1984.898064
25	1976.900826
26	1967.388108
27	1961.291525
28	1955.390377
29	1948.868173
30	1943.479283
31	1936.299728
32	1930.871699
33	1925.621356
34	1920.336056
35	1914.948487
36	1910.662641
37	1906.936844
38	1903.294475
39	1899.478002
40	1895.069645
41	1891.86375
42	1888.28301
43	1885.135292
44	1881.8911
45	1879.749156
46	1876.767482
47	1874.255368
48	1871.555382
49	1868.504197
50	1866.095569
51	1863.471713
52	1861.276457
53	1859.265613
54	1856.968654
55	1854.046673
56	1851.372079
57	1849.12501
58	1847.608987
59	1845.61815
60	1844.143229
61	1842.433197
62	1840.929458
63	1839.202959
64	1837.597627
65	1836.289626
66	1834.223269
67	1832.606873
68	1831.338004
69	1829.493384
70	1827.96831
71	1826.632361
72	1825.159176
73	1824.177521
74	1822.660304
75	1821.584222
76	1820.357191
77	1820.333387
78	1819.030697
79	1817.855376
80	1816.708074
81	1815.219041
82	1813.942227
83	1812.614699
84	1811.614135
85	1810.312019
86	1809.48825
87	1809.451824
88	1808.129265
89	1806.821873
90	1806.133609
91	1804.873972
92	1803.805332
93	1803.327056
94	1802.426918
95	1802.395643
96	1801.631463
97	1800.872597
98	1800.390945
99	1799.606474
100	1798.726588
101	1797.578394
102	1796.526155
103	1795.563376
104	1794.358659
105	1793.317939
106	1792.498319
107	1791.763601
108	1791.254974
109	1790.261609
110	1789.00823
111	1788.851455
112	1788.031812
113	1787.048784
114	1786.960521
115	1786.072983
116	1785.344102
117	1784.237059
118	1782.825525
119	1781.419472
120	1780.456486
121	1780.0648
122	1779.97901
123	1779.481687
124	1778.228728
125	1777.254288
126	1776.324792
127	1775.661113
128	1774.63685
129	1773.855716
130	1773.600933
131	1772.691258
132	1772.298211
133	1771.475394
134	1770.369933
135	1769.911387
136	1769.572749
137	1769.427973
138	1768.903176
139	1768.436439
140	1768.016205
141	1767.477223
142	1767.184219
143	1766.479407
144	1765.322945
145	1765.063624
146	1764.650387
147	1763.669395
148	1762.493452
149	1761.790406
150	1761.051516
151	1760.878371
152	1760.045151
153	1759.920543
154	1759.73197
155	1759.396671
156	1758.872093
157	1758.533995
158	1757.982355
159	1757.47843
160	1756.857067
161	1756.819035
162	1756.212354
163	1755.32399
164	1754.371536
165	1753.66341
166	1753.287465
167	1752.781664
168	1752.297937
169	1752.254941
170	1751.249104
171	1750.954873
172	1750.449342
173	1750.122863
174	1749.582885
175	1748.909532
176	1748.230136
177	1747.413007
178	1746.565785
179	1746.074787
180	1745.670424
181	1745.300939
182	1745.193295
183	1744.648004
184	1744.104562
185	1743.525093
186	1742.968087
187	1742.789154
188	1742.228207
189	1741.679566
190	1741.661412
191	1741.320965
192	1740.627739
193	1740.616691
194	1739.789277
195	1739.108246
196	1738.8317
197	1737.942782
198	1737.296051
199	1736.793955
200	1735.799017
201	1734.828409
202	1734.611442
203	1734.038041
204	1734.009312
205	1733.456138
206	1732.744389
207	1732.192315
208	1731.438871
209	1731.419556
210	1731.15029
211	1730.854383
212	1730.83033
213	1730.23714
214	1729.606541
215	1729.597867
216	1729.517054
217	1729.169612
218	1728.869576
219	1728.829022
220	1728.602393
221	1728.494991
222	1728.150591
223	1727.522823
224	1727.476252
225	1727.209511
226	1726.843702
227	1726.52722
228	1726.477416
229	1726.172949
230	1726.002974
231	1725.672551
232	1725.667862
